BRAND,MODEL,YEAR,KILO,LOCATION,Certificate,Warranty,PRICE
LEXUS,GS300,1998年,25.5萬公里,桃園市/忠泰汽車,1,1,15.0萬
MITSUBISHI,LANCER,2005年,15.3萬公里,新竹縣/順達汽車,1,1,13.8萬
TOYOTA,PREMIO,1999年,31.2萬公里,嘉義市/尚宏汽車,1,1,7.8萬
HYUNDAI,TUCSON,2007年,33.7萬公里,台北市/鴻揚汽車,1,1,12.8萬
MITSUBISHI,LANCER,2005年,16.9萬公里,彰化縣/弘益汽車,1,1,13.6萬
MITSUBISHI,GRUNDER,2006年,22萬公里,新北市/欣利汽車,1,1,9.8萬
NISSAN,SENTRA,2005年,14.1萬公里,台中市/泰洋車業有限公司,1,1,13.8萬
MAZDA,PREMACY,2005年,16.7萬公里,台中市/泰洋車業有限公司,1,1,13.8萬
SUZUKI,ESCUDO,1998年,15.8萬公里,台中市/詮豐汽車,1,1,8.8萬
HONDA,CIVIC,1998年,20.8萬公里,高雄市/一品汽車,1,1,7.8萬
FORD,TIERRA,2001年,20.8萬公里,高雄市/一品汽車,1,1,8.8萬
NISSAN,X-TRAIL,2004年,18.2萬公里,宜蘭縣/展宇汽車,1,1,13.8萬
VOLKSWAGEN,LUPO,2001年,20.1萬公里,嘉義市/龍順汽車,1,1,9.0萬
FORD,TIERRA,2007年,14.3萬公里,屏東縣/大衛汽車,1,1,14.8萬
MITSUBISHI,SPACE,2001年,12.3萬公里,桃園市/金程汽車,1,1,13.8萬
MITSUBISHI,VIRAGE,2003年,22萬公里,嘉義市/龍順汽車,1,1,8.0萬
PROTON,GEN,2005年,14.4萬公里,台中市/上嘉汽車,1,1,15.0萬
NISSAN,MARCH,2003年,11.1萬公里,台中市/上嘉汽車,1,1,10.0萬
NISSAN,X-TRAIL,2003年,23.4萬公里,台中市/弘宇車業,1,1,12.5萬
LEXUS,ES330,2004年,13.6萬公里,新北市/威龍汽車,1,1,9.8萬
TOYOTA,PREMIO,2001年,25.6萬公里,桃園市/忠泰汽車,1,1,9.8萬
FORD,TIERRA,2001年,22.1萬公里,嘉義市/宇勝汽車,1,1,7.8萬
SUZUKI,EVERY,2006年,14.5萬公里,嘉義市/宇勝汽車,1,1,14.8萬
FORD,FOCUS,2005年,12.9萬公里,彰化縣/廣興汽車,1,1,13.8萬
NISSAN,SENTRA,2004年,18.3萬公里,宜蘭縣/展宇汽車,1,1,12.8萬
NISSAN,TEANA,2005年,9.4萬公里,台中市/S嚴選汽車,1,1,13.8萬
TOYOTA,TERCEL,2001年,24.1萬公里,台中市/坦格汽車,1,1,10.8萬
SUZUKI,CARRY,2006年,12.3萬公里,台中市/尚安汽車,1,1,14.5萬
FORD,PR-Z,2007年,8.3萬公里,台中市/尚安汽車,1,1,14.5萬
MITSUBISHI,FREECA,2007年,21.7萬公里,新北市/東揚汽車商行,1,1,13.8萬
TOYOTA,VIOS,2005年,24.3萬公里,雲林縣/金旺昇汽車,1,1,15.0萬
TOYOTA,CAMRY,2002年,22.4萬公里,新北市/欣利汽車,1,1,9.8萬
SUZUKI,EVERY,2007年,11.7萬公里,彰化縣/僑輪汽車,1,1,7.5萬
TOYOTA,COROLLA,1995年,22.7萬公里,彰化縣/僑輪汽車,1,1,3.5萬
MITSUBISHI,LANCER,2001年,20.5萬公里,台中市/弘宇車業,1,1,6.8萬
FORD,ESCAPE,2002年,17萬公里,桃園市/明士汽車,1,1,10.8萬
HYUNDAI,TUCSON,2005年,20.2萬公里,高雄市/辰泰汽車,1,1,12.8萬
FORD,TIERRA,2003年,16萬公里,新北市/鼎昇汽車,1,1,14.8萬
FORD,FOCUS,2004年,15.3萬公里,雲林縣/宜利汽車商行,1,1,12.8萬
TOYOTA,ALTIS,2003年,21.9萬公里,新北市/名輪汽車,1,1,14.8萬
MITSUBISHI,GLOBAL,2006年,26.7萬公里,雲林縣/上新汽車,1,1,12.8萬
TOYOTA,VIOS,2003年,8.6萬公里,彰化縣/見昌汽車,1,1,12.8萬
MITSUBISHI,SAVRIN,2003年,14.5萬公里,雲林縣/泳嘉汽車商行,1,1,12.8萬
MITSUBISHI,SAVRIN,2003年,12萬公里,基隆市/南欣汽車,1,1,6.8萬
SUZUKI,EVERY,2002年,9.0萬公里,桃園市/永興汽車,1,1,12.8萬
MITSUBISHI,VIRAGE,2006年,19.2萬公里,嘉義縣/順久汽車,1,1,13.5萬
MITSUBISHI,VIRAGE,2003年,19.4萬公里,彰化縣/僑輪汽車,1,1,5.5萬
MITSUBISHI,LANCER,2006年,11萬公里,桃園市/金程汽車,1,1,14.0萬
NISSAN,MARCH,2005年,16.4萬公里,新北市/元駿車業,1,1,12.8萬
TOYOTA,ALTIS,2002年,17萬公里,桃園市/頂尖汽車,1,1,12.8萬
MITSUBISHI,LANCER,2003年,21.7萬公里,彰化縣/品尊汽車,1,1,12.8萬
TOYOTA,TERCEL,1996年,17.2萬公里,新北市/鼎昇汽車,1,1,9.8萬
VOLKSWAGEN,T4,1995年,14萬公里,高雄市/辰泰汽車,1,1,4.8萬
NISSAN,CEFIRO,2003年,18.9萬公里,新北市/鼎昇汽車,1,1,6.5萬
HYUNDAI,MATRIX,2004年,18.6萬公里,嘉義市/宇勝汽車,1,1,13.8萬
HYUNDAI,TUCSON,2006年,14萬公里,基隆市/南欣汽車,1,1,12.8萬
MAZDA,PREMACY,2004年,8.3萬公里,桃園市/良宥汽車,1,1,13.8萬
HYUNDAI,GETZ,2005年,14.4萬公里,桃園市/良宥汽車,1,1,12.8萬
TOBE,M'CAR,2011年,6.4萬公里,台中市/和盛汽車,1,1,13.8萬
MAZDA,PREMACY,2005年,16.6萬公里,台中市/弘宇車業,1,1,12.5萬
MITSUBISHI,LANCER,2005年,15.5萬公里,台中市/S嚴選汽車,1,1,9.8萬
TOYOTA,CAMRY,2004年,17.8萬公里,台中市/S嚴選汽車,1,1,12.8萬
TOYOTA,VIOS,2004年,17萬公里,台中市/安勝汽車,1,1,12.8萬
FORD,ESCAPE,2004年,8888.9萬公里,新北市/勝禾田汽車,1,1,8.5萬
MITSUBISHI,LANCER,2002年,8888.9萬公里,新北市/勝禾田汽車,1,1,5.8萬
KIA,KAON,2004年,21.2萬公里,台中市/聖傑汽車,1,1,13.8萬
TOYOTA,ZACE,2006年,16.5萬公里,台中市/泰洋車業有限公司,1,1,13.8萬
MITSUBISHI,LANCER,2006年,16.3萬公里,台中市/泰洋車業有限公司,1,1,10.8萬
MITSUBISHI,VIRAGE,2004年,21.5萬公里,嘉義縣/順久汽車,1,1,10.5萬
MITSUBISHI,FREECA,2004年,11萬公里,桃園市/宏大汽車,1,1,11.8萬
TOYOTA,ZACE,2005年,11.3萬公里,台中市/泰洋車業有限公司,1,1,12.8萬
LEXUS,GS300,1998年,32.5萬公里,彰化縣/竣富汽車,1,1,8.8萬
FORD,ESCAPE,2004年,18.4萬公里,嘉義縣/順久汽車,1,1,14.5萬
FORD,ECONOVAN,2002年,19.6萬公里,彰化縣/福大汽車,1,1,13.8萬
CITROEN,C2,2005年,19.5萬公里,桃園市/良宥汽車,1,1,13.8萬
MITSUBISHI,GALANT,2002年,13.3萬公里,彰化縣/竣富汽車,1,1,9.8萬
